ID,PX_MID,TRADING_DT_REALTIME,SETTLE_DT,OPT_EXPIRE_DT,TODAY_DT,BASE_CRNCY,CRNCY,VOL_CURRENCY_ISO_PAIR,OPT_DAYS_EXPIRE,VOL_INSTRUMENT_TYPE,SECURITY_TENOR_ONE,VOL_DELTA
EURUSD25R5Y BGN Curncy,-1.505,7/3/2013,12/3/2018,8/3/2018,7/3/2013,EUR,USD,EURUSD,1827,RR,5Y,25D
EURUSD25R7Y BGN Curncy,-1.8975,7/3/2013,11/3/2020,9/3/2020,7/3/2013,EUR,USD,EURUSD,2559,RR,7Y,25D
EURUSD25R10Y BGN Curncy,-1.9975,7/3/2013,13/3/2023,9/3/2023,7/3/2013,EUR,USD,EURUSD,3654,RR,10Y,25D
EURUSD25BON BGN Curncy,0.225,7/3/2013,8/3/2013,8/3/2013,7/3/2013,EUR,USD,EURUSD,1,BF,1D,25D
EURUSD25B1W BGN Curncy,0.1325,7/3/2013,18/3/2013,14/3/2013,7/3/2013,EUR,USD,EURUSD,7,BF,1W,25D
EURUSD25B2W BGN Curncy,0.1425,7/3/2013,25/3/2013,21/3/2013,7/3/2013,EUR,USD,EURUSD,14,BF,2W,25D
EURUSD25B3W BGN Curncy,0.1425,7/3/2013,2/4/2013,28/3/2013,7/3/2013,EUR,USD,EURUSD,21,BF,3W,25D
EURUSD25B1M BGN Curncy,0.1525,7/3/2013,11/4/2013,9/4/2013,7/3/2013,EUR,USD,EURUSD,33,BF,1M,25D
EURUSD25B2M BGN Curncy,0.215,7/3/2013,13/5/2013,9/5/2013,7/3/2013,EUR,USD,EURUSD,63,BF,2M,25D
EURUSD25B3M BGN Curncy,0.23,7/3/2013,11/6/2013,7/6/2013,7/3/2013,EUR,USD,EURUSD,92,BF,3M,25D
EURUSD25B6M BGN Curncy,0.32,7/3/2013,11/9/2013,9/9/2013,7/3/2013,EUR,USD,EURUSD,186,BF,6M,25D
EURUSD25B1Y BGN Curncy,0.3325,7/3/2013,11/3/2014,7/3/2014,7/3/2013,EUR,USD,EURUSD,365,BF,1Y,25D
EURUSD25B18M BGN Curncy,0.3725,7/3/2013,11/9/2014,9/9/2014,7/3/2013,EUR,USD,EURUSD,551,BF,18M,25D
EURUSD25B2Y BGN Curncy,0.3275,7/3/2013,11/3/2015,9/3/2015,7/3/2013,EUR,USD,EURUSD,732,BF,2Y,25D
EURUSD25B3Y BGN Curncy,0.3,7/3/2013,11/3/2016,9/3/2016,7/3/2013,EUR,USD,EURUSD,1098,BF,3Y,25D
EURUSD25B5Y BGN Curncy,0.295,7/3/2013,12/3/2018,8/3/2018,7/3/2013,EUR,USD,EURUSD,1827,BF,5Y,25D
EURUSD25B7Y BGN Curncy,0.3275,7/3/2013,11/3/2020,9/3/2020,7/3/2013,EUR,USD,EURUSD,2559,BF,7Y,25D
EURUSD25B10Y BGN Curncy,0.3075,7/3/2013,13/3/2023,9/3/2023,7/3/2013,EUR,USD,EURUSD,3654,BF,10Y,25D
EURUSD10RON BGN Curncy,-1.7725,7/3/2013,8/3/2013,8/3/2013,7/3/2013,EUR,USD,EURUSD,1,RR,1D,10D
EURUSD10R1W BGN Curncy,-1.3325,7/3/2013,18/3/2013,14/3/2013,7/3/2013,EUR,USD,EURUSD,7,RR,1W,10D
EURUSD10R2W BGN Curncy,-1.725,7/3/2013,25/3/2013,21/3/2013,7/3/2013,EUR,USD,EURUSD,14,RR,2W,10D
EURUSD10R3W BGN Curncy,-1.935,7/3/2013,2/4/2013,28/3/2013,7/3/2013,EUR,USD,EURUSD,21,RR,3W,10D
EURUSD10R1M BGN Curncy,-2.1775,7/3/2013,11/4/2013,9/4/2013,7/3/2013,EUR,USD,EURUSD,33,RR,1M,10D
EURUSD10R2M BGN Curncy,-2.3525,7/3/2013,13/5/2013,9/5/2013,7/3/2013,EUR,USD,EURUSD,63,RR,2M,10D
EURUSD10R3M BGN Curncy,-2.5,7/3/2013,11/6/2013,7/6/2013,7/3/2013,EUR,USD,EURUSD,92,RR,3M,10D
EURUSD10R6M BGN Curncy,-2.7925,7/3/2013,11/9/2013,9/9/2013,7/3/2013,EUR,USD,EURUSD,186,RR,6M,10D
EURUSD10R1Y BGN Curncy,-3.045,7/3/2013,11/3/2014,7/3/2014,7/3/2013,EUR,USD,EURUSD,365,RR,1Y,10D
EURUSD10R18M BGN Curncy,-2.8175,7/3/2013,11/9/2014,9/9/2014,7/3/2013,EUR,USD,EURUSD,551,RR,18M,10D
EURUSD10R2Y BGN Curncy,-2.785,7/3/2013,11/3/2015,9/3/2015,7/3/2013,EUR,USD,EURUSD,732,RR,2Y,10D
EURUSD10R3Y BGN Curncy,-2.7175,7/3/2013,11/3/2016,9/3/2016,7/3/2013,EUR,USD,EURUSD,1098,RR,3Y,10D
EURUSD10R5Y BGN Curncy,-2.73,7/3/2013,12/3/2018,8/3/2018,7/3/2013,EUR,USD,EURUSD,1827,RR,5Y,10D
EURUSD10BON BGN Curncy,0.8075,7/3/2013,8/3/2013,8/3/2013,7/3/2013,EUR,USD,EURUSD,1,BF,1D,10D
EURUSD10B1W BGN Curncy,0.385,7/3/2013,18/3/2013,14/3/2013,7/3/2013,EUR,USD,EURUSD,7,BF,1W,10D
EURUSD10B2W BGN Curncy,0.3925,7/3/2013,25/3/2013,21/3/2013,7/3/2013,EUR,USD,EURUSD,14,BF,2W,10D
EURUSD10B3W BGN Curncy,0.41,7/3/2013,2/4/2013,28/3/2013,7/3/2013,EUR,USD,EURUSD,21,BF,3W,10D
EURUSD10B1M BGN Curncy,0.42,7/3/2013,11/4/2013,9/4/2013,7/3/2013,EUR,USD,EURUSD,33,BF,1M,10D
EURUSD10B2M BGN Curncy,0.5025,7/3/2013,13/5/2013,9/5/2013,7/3/2013,EUR,USD,EURUSD,63,BF,2M,10D
EURUSD10B3M BGN Curncy,0.565,7/3/2013,11/6/2013,7/6/2013,7/3/2013,EUR,USD,EURUSD,92,BF,3M,10D
EURUSD10B6M BGN Curncy,0.905,7/3/2013,11/9/2013,9/9/2013,7/3/2013,EUR,USD,EURUSD,186,BF,6M,10D
EURUSD10B1Y BGN Curncy,1.085,7/3/2013,11/3/2014,7/3/2014,7/3/2013,EUR,USD,EURUSD,365,BF,1Y,10D
EURUSD10B18M BGN Curncy,1.195,7/3/2013,11/9/2014,9/9/2014,7/3/2013,EUR,USD,EURUSD,551,BF,18M,10D
EURUSD10B2Y BGN Curncy,1.08,7/3/2013,11/3/2015,9/3/2015,7/3/2013,EUR,USD,EURUSD,732,BF,2Y,10D
EURUSD10B3Y BGN Curncy,1.035,7/3/2013,11/3/2016,9/3/2016,7/3/2013,EUR,USD,EURUSD,1098,BF,3Y,10D
EURUSD10B5Y BGN Curncy,1.0325,7/3/2013,12/3/2018,8/3/2018,7/3/2013,EUR,USD,EURUSD,1827,BF,5Y,10D
